rank,region,founder,university,admission_type,college,department,quota,applicants,rate
16,서울,사립,이화여자대학교,논술(논술전형),신산업융합대학,식품영양학과,6,6,1.0
16,서울,사립,이화여자대학교,논술(논술전형),인공지능대학,사이버보안학과,4,4,1.0
17,서울,사립,건국대학교(서울),논술(KU논술우수자),이과대학,이과대학자유전공학부,11,11,1.0
17,서울,사립,건국대학교(서울),논술(KU논술우수자),융합생명과학대학,첨단바이오공학부,3,3,1.0
18,경기,사립,한국외국어대학교(용인),논술전형,,환경학과,4,4,1.0
18,경기,사립,한국외국어대학교(용인),논술전형,,화학과,4,4,1.0
18,서울,사립,한국외국어대학교(서울),논술전형,,환경학과,4,4,1.0
18,서울,사립,한국외국어대학교(서울),논술전형,,화학과,4,4,1.0
20,서울,사립,홍익대학교(서울),농어촌학생전형,건축도시대학,건축학부 실내건축학전공,1,1,1.0
20,서울,사립,홍익대학교(서울),농어촌학생전형,문과대학,영어영문학과,1,1,1.0
20,서울,사립,홍익대학교(서울),농어촌학생전형,미술대학,동양화과,1,1,1.0
20,서울,사립,홍익대학교(서울),농어촌학생전형,미술대학,판화과,1,1,1.0
20,서울,사립,홍익대학교(서울),농어촌학생전형,미술대학,금속조형디자인과,1,1,1.0
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,공과대학,기계시스템학부,6,6,1.0
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,이과대학,수학과,5,5,1.0
24,서울,사립,숙명여자대학교,[논술] 논술우수자전형,문과대학,일본학과,3,3,1.0
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),문과대학,한국어문학부,2,2,1.0
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),문과대학,역사문화학과,2,2,1.0
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),문과대학,프랑스언어·문화학과,2,2,1.0
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),생활과학대학,아동복지학부,2,2,1.0
24,서울,사립,숙명여자대학교,[학생부종합] 농어촌학생전형(정원외),생활과학대학,식품영양학과,2,2,1.0
25,경기,사립,아주대학교,논술우수자전형,,첨단스마트산업공학과,5,5,1.0
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,조형예술학과,3,3,1.0
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),창의융합대학,지능형반도체공학과,2,2,1.0
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),정보통신대학,전자공학과,1,1,1.0
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),정보통신대학,컴퓨터공학과,1,1,1.0
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),조형대학,산업디자인학과,1,1,1.0
26,서울,국립,서울과학기술대학교,기회균형전형(농어촌학생),인문사회대학,행정학과,1,1,1.0
30,경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,화학공학과,7,7,1.0
30,경기,사립,단국대학교(죽전),[논술위주] 논술우수자 경쟁률 현황 (죽전),,인공지능학과,4,4,1.0
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (죽전),,영미인문학과,2,2,1.0
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,물리학과,2,2,1.0
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,유럽중남미학부(프랑스학전공),1,1,1.0
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,유럽중남미학부(러시아학전공),1,1,1.0
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,유럽중남미학부(포르투갈브라질학전공),1,1,1.0
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,영어과,1,1,1.0
30,경기,사립,단국대학교(죽전),[학생부종합] 농어촌학생(정원외) 경쟁률 현황 (천안),,신소재공학과,1,1,1.0
31,서울,사립,광운대학교,학생부종합【농어촌학생전형】,,컴퓨터정보공학부,5,1,1.0
31,서울,사립,광운대학교,학생부종합【농어촌학생전형】,,국어국문학과,1,1,1.0
31,서울,사립,광운대학교,학생부종합【농어촌학생전형】,,국제통상학부,1,1,1.0
33,서울,사립,성신여자대학교,논술우수자,,간호학과(자연),6,6,1.0
33,서울,사립,성신여자대학교,논술우수자,,서비스디자인공학과,5,5,1.0
33,서울,사립,성신여자대학교,논술우수자,,프랑스어문·문화학과,3,3,1.0
33,서울,사립,성신여자대학교,논술우수자,,문화예술경영학과,3,3,1.0
37,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,일어일문학전공,2,2,1.0
37,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,응용통계학전공,2,2,1.0
37,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,스마트모빌리티공학전공,2,2,1.0
37,경기,사립,명지대학교(용인),학생부종합(농어촌학생전형),,신소재공학전공,2,2,1.0
37,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,일어일문학전공,2,2,1.0
37,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,응용통계학전공,2,2,1.0
37,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,스마트모빌리티공학전공,2,2,1.0
37,서울,사립,명지대학교(서울),학생부종합(농어촌학생전형),,신소재공학전공,2,2,1.0
38,대전,국립,충남대학교,농어촌학생전형,경상대학,경제학과,2,2,1.0
38,대전,국립,충남대학교,농어촌학생전형,공과대학,스마트시티건축공학과,2,2,1.0
38,대전,국립,충남대학교,농어촌학생전형,공과대학,자율운항시스템공학과,2,2,1.0
38,대전,국립,충남대학교,농어촌학생전형,인문대학,일어일문학과*,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,인문대학,한문학과*,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,인문대학,사학과*,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,사회과학대학,문헌정보학과*,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,사회과학대학,도시·자치융합학과,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,사범대학,교육학과,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,자연과학대학,정보통계학과,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,농업생명과학대학,지역환경토목학과,1,1,1.0
38,대전,국립,충남대학교,농어촌학생전형,생명시스템과학대학,생명정보융합학과,1,1,1.0
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,화공생명배터리공학부,4,4,1.0
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,인문계열,미디어커뮤니케이션학과,2,2,1.0
39,경기,사립,가천대학교(성남),농어촌(교과) 전형,자연계열,의공학과,2,2,1.0
39,경기,사립,가천대학교(성남),농어촌(종합) 전형,인문계열,경제학과,2,2,1.0
39,경기,사립,가천대학교(성남),농어촌(종합) 전형,자연계열,건설환경공학과,2,2,1.0
